Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
TestJet Failure	|P179	|1	|DI_DIG_IN_G_20_	|tp580	|210330144019	|
TestJet Failure	|P172	|1	|DI_DIG_IN_G_13_	|tp573	|210330144019	|
TestJet Failure	|P96	|1	|AI_AN_IN_B_6_	|tp426	|210330144019	|
TestJet Failure	|P20	|1	|JCOMP	|tp996	|210330144019	|
TestJet Failure	|P32	|1	|TDO	|tp987	|210330144019	|
TestJet Failure	|P185	|1	|DI_DIG_IN_G_26_	|tp586	|210330144019	|
TestJet Failure	|P33	|1	|TMS	|tp989	|210330144019	|
TestJet Failure	|P74	|1	|_RSTOUT_	|tp224	|210330144019	|
TestJet Failure	|P98	|1	|AI_AN_IN_B_8_	|tp432	|210330144019	|
TestJet Failure	|P237	|1	|DO_12V_OUT_M	|tp338	|210330144019	|
TestJet Failure	|P121	|1	|AI_VARICO	|tp272	|210330144019	|
Analog Failure	|P671	|1	|GND	|tp2	|210330151644	|
Analog Failure	|P671	|1	|GND	|tp2	|210330151824	|
Analog Failure	|P671	|1	|GND	|tp2	|210331002020	|
Analog Failure	|P289	|1	|SIGN1883	|tp180	|210331002020	|
Analog Failure	|P671	|1	|GND	|tp2	|210331002410	|
Analog Failure	|P289	|1	|SIGN1883	|tp180	|210331002410	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331141855	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331141855	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331142502	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331142502	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331142544	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331142544	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331142642	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331142642	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331143053	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331143053	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331143411	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331143411	|
Analog Failure	|P423	|1	|SIGN2267	|tp694	|210331144211	|
Analog Failure	|P439	|1	|SIGN2287	|tp693	|210331144211	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173210	|
Analog Failure	|P477	|1	|SIGN2360	|tp226	|210331173210	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173210	|
Analog Failure	|P314	|1	|SIGN1929	|tp235	|210331173210	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173210	|
Analog Failure	|P315	|1	|SIGN1930	|tp236	|210331173210	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173338	|
Analog Failure	|P477	|1	|SIGN2360	|tp226	|210331173338	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173338	|
Analog Failure	|P314	|1	|SIGN1929	|tp235	|210331173338	|
Analog Failure	|P671	|1	|GND	|tp2	|210331173338	|
Analog Failure	|P315	|1	|SIGN1930	|tp236	|210331173338	|
Analog Failure	|P146	|1	|CM_OUT	|tp109	|210331210730	|
